BASIS,ROOM TYPE,RACK RATE,AGENT NET RATE
Deluxe Single,110 USD,90 USD,Bed& Breakfast
Deluxe Single,Deluxe Double/Twin,150 USD,100 USD
Deluxe Single,Triple,,120 USD
Deluxe Single,130 USD,100 USD,Half Board
Deluxe Single,Deluxe Double/Twin,170 USD,120 USD
Deluxe Single,Triple,,140 USD
,Deluxe Single 150 USD,110 USD,Full Board
,Deluxe Double/Twin,190 USD,125 USD
,Triple,,150 USD
