ITEM DESCRIPTION,AMOUNT (KES)
5-Seater & below,300/-
6 - 12-Seater,"1,030/-"
13 - 24-Seater,"2,585/-"
25 - 44-Seater,"4,050/-"
45 - Seater Buses,"5,000/-"
