BASIS,ROOM TYPE,RACK RATE,AGENT NET RATE
Bed& Breakfast,Deluxe Single,"KES 9,000","KES 6,000"
Bed& Breakfast,Deluxe Double/Twin,"KES 12,000","KES 9,000"
Bed& Breakfast,Triple,,"KES 13,000"
Half Board,Deluxe Single,"KES 11,000","KES 7,000"
Half Board,Deluxe Double/Twin,"KES 13,000","KES 10,000"
Half Board,Triple,,"KES 14,000"
Full Board,Deluxe Single,"KES 13,000","KES 8,500"
Full Board,Deluxe Double/Twin,"KES 14,000","KES 10,500"
Full Board,Triple,,"KES 15,000"
