,16ThJun-30ThSep 20ThDec-5ThJan2026,6ThJan-15ThApr 1stOct-7ThNov,16ThApr-15ThJun 8ThNov-19ThDec
,PEAK,HIGH,LOW
PER PERSON SHARING,424,312,232
CHILDREN SHARING (5-11)YRS,212,156,116
FAMILY SUITES (04 PAX),"1,272",936,696
SINGLE OCCUPANCY,504,368,276
