,16ThJun-30ThSep 20ThDec-5ThJan2026,6ThJan-15ThApr 1stOct-7ThNov,16ThApr-15ThJun 8ThNov-19ThDec
,PEAK,HIGH,LOW
PER PERSON SHARING,552,472,312
CHILDREN SHARING (5-11)YRS,276,236,156
FAMILY SUITES (04 PAX),"2,208","1,888","1,248"
SINGLE OCCUPANCY,656,560,368
