,16ThJun-30ThSep 20ThDec-5ThJan2026,6ThJan-15ThApr 1stOct-7ThNov,16ThApr-15ThJun 8ThNov-19ThDec
,PEAK,HIGH,LOW
PER PERSON SHARING,600,520,360
CHILDREN SHARING (5-11)YRS,316,260,180
FAMILY SUITES (04 PAX),"2,400",2080,"1,440"
SINGLE OCCUPANCY,712,616,424
