,16ThJun-30ThSep 20ThDec-5ThJan2026,6ThJan-15ThApr 1stOct-7ThNov,16ThApr-15ThJun 8ThNov-19ThDec
,PEAK,HIGH,LOW
PER PERSON SHARING,472,392,312
CHILDREN SHARING (5-11)YRS,236,196,156
FAMILY SUITES (04 PAX),"1,416","1,176",936
SINGLE OCCUPANCY,560,464,368
