0,1,2,3,4,5,6,7,8,9,10,11
4 th JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPTEMBER,OCTOBER,NOV - 15 TH DEC,16 th DEC - 3 rd Jan)
$170,$170,$170,$143,$143,$315,$315,$315,$315,$170,$143,$315
