0,1,2,3,4,5,6,7,8,9,10,11
4 th JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPTEMBER,OCTOBER,NOV - 15 th DEC,16 th DEC - 3 rd Jan)
$340,$340,$340,$273,$273,$455,$455,$455,$455,$340,$273,$455
