SEASONS,FULL BOARD ACCOMMODATION RACK RATES.PER ADULT SHARING,FULL BOARD ACCOMMODATION RACK RATES.SINGLE PERSON,FULL BOARD ACCOMMODATION RACK RATES.CHILD 04 - 11YRS SHARING
Low Season,"17,500","22,500","9,625"
Mid-Season,"17,500","22,500","9,625"
High Season,"22,500","27,500","12,375"
