0,1,2,3,4
Full Board,Per Adult,"3,000",0 - 2 Years,Free of Charge
,Per Child,"1,500",12 + Years,Adult Rates
All Inclusive,Per Adult,"7,500",3 - 11 Years whensharing with one adult,3rd bed Child + Single Occupancy
,Per Child,"3,000",3 - 11 Years whensharing with two adults,3rd bed Child + 2 Pp Sharing
,,,"2 Children, whensharing with one adult",Single Occupancy + 1 Pp Sharing
,,,"2 Children, whensharing with two adults",2 x 3rd bed Child + 2 Pp Sharing
,,,2 Children sharing with no adults,Single Occupancy
,,,3 Children sharing with no adults,Single Occupancy + 3rd bed Child
