BASIS,ROOM TYPE,RACK RATE,AGENT NET RATE
Bed& Breakfast,Deluxe Single,"KES 10,000","KES 9,000"
Bed& Breakfast,Deluxe Double/Twin,"KES 12,000","KES 11,000"
Half Board,Deluxe Single,"KES 12,000","KES 11,000"
Half Board,Deluxe Double/Twin,"KES 14,000","KES 13,000"
Full Board,Deluxe Single,"KES 14,000","KES 13,000"
Full Board,Deluxe Double/Twin,"KES 16,000","KES 14,000"
