BASIS,ROOM TYPE,RACK RATE,AGENT NET RATE
Bed& Breakfast,Deluxe Single,110 USD,70 USD
Bed& Breakfast,Deluxe Double/Twin,150 USD,85 USD
Half Board,Deluxe Single,130 USD,80 USD
Half Board,Deluxe Double/Twin,170 USD,90 USD
Full Board,Deluxe Single,150 USD,95 USD
Full Board,Deluxe Double/Twin,190 USD,100 USD
