Room.Room,Occupancy.Occupancy,Meal plan.Meal plan,Without Activities.USD,Water Slides or High Ropes.USD,"Water Slides, High Ropes and Spa.USD"
Standard,Single,FB,95,120,130
Standard,Single,HB,85,110,120
Standard,Single,BB,80,100,110
Standard,Single,Bed,70,90,100
Deluxe,Single,FB,120,130,140
Deluxe,Single,HB,110,120,130
Deluxe,Single,BB,100,110,120
