Room.Room,Occupancy.Occupancy,Meal plan.Meal plan,Without Activities.USD,Water Slides or High Ropes.USD,"Water Slides, High Ropes and Spa.USD"
Standard,2 Pax,FB,160,200,240
Standard,2 Pax,HB,150,180,200
Standard,2 Pax,BB,120,150,160
Standard,2 Pax,Bed,100,120,140
Deluxe,2 Pax,FB,180,220,250
Deluxe,2 Pax,HB,160,200,230
Deluxe,2 Pax,BB,140,190,200
Deluxe,2 Pax,Bed,120,180,170
Tented,3-4 Pax,FB,210,240,300
Tented,3-4 Pax,HB,180,200,260
Tented,3-4 Pax,BB,160,180,220
Tented,3-4 Pax,Bed,150,150,180
