0,1,2,3,4,5
Family Villa,5-6 Pax,FB,280,360,400
Family Villa,5-6 Pax,HB,240,320,360
Family Villa,5-6 Pax,BB,200,300,330
Family Villa,5-6 Pax,Bed,180,240,300
Triple room,3 Pax,FB,210,270,340
Triple room,3 Pax,HB,180,240,300
Triple room,3 Pax,BB,160,210,250
Triple room,3 Pax,Bed,150,180,200
