0,1,2,3,4,5
Room,Occupancy,Meal plan,Without Activities,Water Slides or High Ropes,"Water Slides, High Ropes and Spa"
,,,Ksh,Ksh,Ksh
,,FB,"14,000","16,000","18,000"
