,Validity.2025,2025,Standard Room.Single,Standard Room.Double,Superior Room.Single,Superior Room.Double,VIP Club.Unit,Suite.Unit
Easter Shoulder,04/01/2025 - 16/04/2025,HB,$235,$150,$300,$205,$510,$599
Easter,17/04/2025 - 21/04/2025,HB,$250,$160,$270,$220,$545,$645
Low,22/04/2025 - 31/07/2025,HB,$200,$130,$260,$165,$460,$540
Spring Shoulder,01/08/2025 - 22/12/2025,HB,$235,$150,$300,$205,$510,$600
Festive,23/12/2025 - 03/01/2026,HB,$380,$250,$480,$305,$705,$780
