,Validity.2025,2025,Standard Room.Single,Standard Room.Double,Superior Room.Single,Superior Room.Double,VIP Club.Unit,Suite.Unit
Easter Shoulder,04/01/2025 - 16/04/2025,FB,$270,$180,$325,$230,$565,$665
Easter,17/04/2025 - 21/04/2025,FB,$285,$200,$355,$245,$570,$705
Low,22/04/2025 - 31/07/2025,FB,$230,$155,$300,$205,$510,$600
Spring Shoulder,01/08/2025 - 22/12/2025,FB,$270,$180,$325,$230,$565,$665
Festive,23/12/2025 - 03/01/2026,FB,$420,$285,$510,$345,$760,$845
