,Validity.2025,2025,Standard Room.Single,Standard Room.Double,Superior Room.Single,Superior Room.Double,VIP Club.Unit,Suite.Unit
Easter Shoulder,04/01/2025 - 16/03/2025,BB,$215,$135,$285,$180,$485,$570
Easter,17/04/2025 - 21/04/2025,BB,$235,$145,$305,$190,$515,$605
Low,22/04/2025 - 31/07/2025,BB,$175,$115,$250,$150,$435,$510
Spring Shoulder,01/08/2025 - 22/12/2025,BB,$215,$135,$285,$180,$485,$570
Festive,23/12/2025 - 03/01/2026,BB,$370,$235,$455,$290,$670,$745
