2025.,Nett (20%).High Season,Nett (20%).Low Season,Conservation Fees.
Adult,US$ 544,US$ 464,US$ 116
Single Supplement,US$ 200,US$ 200,
Teens (13-18 yrs),US$ 408,US$ 348,US$ 87
Child (4-12 yrs),US$ 272,US$ 232,US$ 58
