,,SINGLE.KSH,SINGLE.USD,DOUBLE.KSH,DOUBLE.USD,TRIPLE.KSH,TRIPLE.USD,FAMILY.KSH,FAMILY.USD
"Festive Seasons Rates 21st Dec 2024 - 3rd Jan, 2025",SUPERIOR TENTS,"7,000",90,"10,000",110,"12,000",130,"14,500",155
,DELUXE ROOMS,"8,500",100,"11,000",120,"12,500",135,"15,000",160
"HIGH SEASON 4th Jan- 15th March, 2025",SUPERIOR TENTS,"5,500",60,"7,000",80,"10,500",110,"12,000",130
,DELUXE ROOMS,"6,000",65,"8,000",90,"11,000",115,"12,500",135
"LOW SEASON 16th March - 30th June, 2025 1st Oct - 20th Dec, 2025",SUPERIOR TENTS,"4,800",50,"6,250",70,"9,800",105,"11,300",115
,DELUXE ROOMS,"5,000",55,"7,250",80,"10,500",110,"11,550",120
"PEAK SEASON 1st July- 30th Sep, 2025",SUPERIOR TENTS,"7,000",90,"10,000",110,"12,000",130,"14,500",155
,DELUXE ROOMS,"8,500",100,"11,000",120,"12,500",135,"15,000",160
