ALLINCLUSIVE,DOUBLE KSH.,SINGLE KSH.
Superior Ocean View Room,"44,000","33,000"
Ocean Front with Plunge Pool,"56,000","42,000"
Ocean Front Suite,"59,000","44,250"
Ocean Breeze Suite,"130,000","130,000"
