ALLINCLUSIVE,DOUBLE KSH.,SINGLE KSH.
Superior Ocean View Room,"38,000","28,500"
Ocean Front with Plunge Pool,"50,000","37,500"
Ocean Front Suite,"53,000","39,750"
Ocean Breeze Suite,"130,000","130,000"
