ALLINCLUSIVE,DOUBLE KSH.,SINGLE KSH.
Superior Ocean View Room,"69,000","51,750"
Ocean Front with Plunge Pool,"81,000","60,750"
Ocean Front Suite,"84,000","63,000"
Ocean Breeze Suite,"130,000","130,000"
