2 NIGHTS PACKAGE.WATERHOLE VIEW ROOMS,HIGH SEASON 02 Jan 2025- 31 Mar 2025 & 01 July 2025- 22 Dec 2025.Economy Package,HIGH SEASON 02 Jan 2025- 31 Mar 2025 & 01 July 2025- 22 Dec 2025.1st Class Package,GREEN SEASON (Excluding Easter Holidays) 01 April 2025- 30 June 2025.Economy Package,GREEN SEASON (Excluding Easter Holidays) 01 April 2025- 30 June 2025.1st Class Package
Single Lodge Room Per Solo Traveller,"KES 49,500","KES 54,500","KES 45,000","KES 50,000"
Double Lodge Room Per Person Sharing,"KES 43,000","KES 48,000","KES 38,500","KES 43,000"
