2 NIGHTS PACKAGE.PARK VIEW ROOMS,2 NIGHTS PACKAGE.,HIGH SEASON 02 Jan 2025- 31 Mar 2025 & 01 July 2025- 22 Dec 2025.Economy Package,HIGH SEASON 02 Jan 2025- 31 Mar 2025 & 01 July 2025- 22 Dec 2025.1st Class Package,GREEN SEASON (Excluding Easter Holidays) 01 April 2025- 30 June 2025.Economy Package,GREEN SEASON (Excluding Easter Holidays) 01 April 2025- 30 June 2025.1st Class Package
Single Lodge Room,Per Solo Traveller,"KES 47,000","KES 52,000","KES 42,500","KES 47,500"
Double Lodge Room,Per Person Sharing,"KES 40,000","KES 45,500","KES 36,000","KES 41,000"
Triple Lodge Room,Per Person Sharing,"KES 35,100","KES 39,500","KES 30,600","KES 35,000"
