SEASON,ROOMTYPE,ROOMTYPE,RATE (USD),SEASON,ROOMTYPE,ROOMTYPE,RATE (USD),SEASON,ROOMTYPE,ROOMTYPE,RATE (USD)
HIGH JUL1 ST -AUG30 TH DEC19 TH -JAN3 RD,STANDARD,SINGLE,$570,LOW SEASON JAN4 TH -JUNE 31 ST SEPT-DEC 20 TH,STANDARD,SINGLE,$ 382 $ 255,EASTER HOLIDAY,STANDARD ROOM,SINGLE,$570
HIGH JUL1 ST -AUG30 TH DEC19 TH -JAN3 RD,ROOM,PPS,$380,LOW SEASON JAN4 TH -JUNE 31 ST SEPT-DEC 20 TH,STANDARD,PPS,,EASTER HOLIDAY,STANDARD ROOM,PPS,$380
HIGH JUL1 ST -AUG30 TH DEC19 TH -JAN3 RD,DELUXE ROOM (WITHBATHTUB),DELUXE ROOM (WITHBATHTUB),$420,LOW SEASON JAN4 TH -JUNE 31 ST SEPT-DEC 20 TH,DELUXE ROOM (WITHBATHTUB),DELUXE ROOM (WITHBATHTUB),$ 275,EASTER HOLIDAY,DELUXE ROOM (WITHBATHTUB),DELUXE ROOM (WITHBATHTUB),$420
HIGH JUL1 ST -AUG30 TH DEC19 TH -JAN3 RD,EXECUTIVEROOM (WITHPLUNGE POOL),EXECUTIVEROOM (WITHPLUNGE POOL),$470,LOW SEASON JAN4 TH -JUNE 31 ST SEPT-DEC 20 TH,EXECUTIVEROOM (WITHPLUNGE POOL),EXECUTIVEROOM (WITHPLUNGE POOL),$ 295,EASTER HOLIDAY,EXECUTIVEROOM (WITHPLUNGE POOL),EXECUTIVEROOM (WITHPLUNGE POOL),$470
