EXECUTIVE SUITE,SINGLE ROOM,DOUBLE ROOM,SINGLE ROOM,DOUBLE ROOM,SINGLE ROOM,DOUBLE ROOM
FULLBOARD,"KES 30,000","KES 40,000","KES 33,000","KES 44,000","KES 37,950","KES 50,600"
HALFBOARD,"KES 27,500","KES 33,500","KES 30,500","KES 36,500","KES 35,000","KES 42,500"
BED & BREAKFAST,"KES 25,000","KES 29,000","KES 27,500","KES 31,900","KES 31,500","KES 36,500"
