ROOMTYPE,NORMALSEASON,NORMALSEASON,HIGHSEASON,EASTER &FESTIVE
FAMILY SUITE 2 BEDROOM Max 4 Guests,FULLBOARD,"KES 66,500","KES 73,000","KES 89,000"
FAMILY SUITE 2 BEDROOM Max 4 Guests,HALFBOARD,"KES 54,000","KES 59,000","KES 68,000"
FAMILY SUITE 2 BEDROOM Max 4 Guests,BED & BREAKFAST,"KES 46,000","KES 50,000","KES 58,000"
FAMILY SUITE 3 BEDROOM Max 6 Guests,FULLBOARD,"KES 97,000","KES 106,700","KES 128,000"
FAMILY SUITE 3 BEDROOM Max 6 Guests,HALFBOARD,"KES 77,500","KES 85,500","KES 99,000"
FAMILY SUITE 3 BEDROOM Max 6 Guests,BED & BREAKFAST,"KES 64,500","KES 70,500","KES 81,000"
MAIYAN SIGNATURE VILLA Max 12 Guests,FULLBOARD,"KES 191,000","KES 210,100","KES 240,000"
MAIYAN SIGNATURE VILLA Max 12 Guests,HALFBOARD,"KES 156,500","KES 172,500","KES 198,000"
MAIYAN SIGNATURE VILLA Max 12 Guests,BED & BREAKFAST,"KES 130,000","KES 143,000","KES 164,000"
