DELUXE,SINGLE ROOM,DOUBLE ROOM,SINGLE ROOM,DOUBLE ROOM,SINGLE ROOM,DOUBLE ROOM
FULLBOARD,"KES 21,500","KES 30,500","KES 26,500","KES 33,500","KES 30,500","KES 38,500"
HALFBOARD,"KES 18,500","KES 23,900","KES 20,500","KES 26,500","KES 23,500","KES 29,500"
BED & BREAKFAST,"KES 15,950","KES 19,500","KES 17,500","KES 21,500","KES 20,000","KES 24,500"
