NORMALSEASON,HIGHSEASON,FESTIVE / EASTER HOLIDAY
3RDJAN-31STMARCH,1STAPRIL-17THAPRIL|22NDAPRIL-30TH APRIL,(*MIN.3NIGHTSSTAY)
1STMAY-10THJUNE,11THJUNE- 31STAUG,18THMARCH-21STMARCH
1STSEP-31STOCT,1STNOV-22NDDEC,23RDDEC-3RDJAN
