ROOMTYPE,NORMAL RATES 4/01/2024 - 22/12/2024,FESTIVE RATES 23/12/2024 - 3/01/2025
ONE-BEDROOM,"7,000","15,000"
TWO-BEDROOM,"12,000","25,000"
