PER PERSON PER NIGHT KES,LOW SEASON 6th Jan - 30th June 1st Nov - 20th Dec (Excluding Easter dates),HIGH SEASON 18th - 21st April (3 night min stay) 1st July 2025 - 31st Oct 21st Dec 2025 - 5th Jan 2026 (2 night min. stay),Conservancy Fees
Cottage - Full Board,"18,500","24,500","1,000"
Family Cottage - Full Board,"19,500","25,500","1,000"
Suite - Full Board,"24,000","31,500","1,000"
Cottage - Package,"25,000","31,000","1,000"
Family Cottage - Package,"26,000","32,500","1,000"
Suite - Package,"32,000","40,000","1,000"
Single Supplement *maximum 3 singles per group. From 4th single we charge double room rate.,"8,000","10,000",n/a
Children 3-12yrs,Sharing - 50% Own Room - 75%,Sharing - 50% Own Room - 75%,500
