Rates per person per day.Period,Rates per person per day.Category,Rates per person per day.Allotment,Rates per person per day.Meal plan,Rates per person per day.Single,Rates per person per day.Half Dbl(p.p.),Rates per person per day.3rd pax,Rates per person per day.release period,Rates per person per day.Remarks
Season 1 01.01.25 to 05.01.25,Standard Room,0,BB HB AI,230.00 248.00 276.00,156.00 164.00 184.00,109.00 115.00 128.00,n/a,
Season 2 06.01.25 to 30.04.25,Standard Room,0,BB HB AI,136.00 150.00 172.00,96.00 103.00 109.00,67.00 72.00 76.00,n/a,
Season 3 01.05.25 to 30.06.25,Standard Room,0,BB HB AI,120.00 126.00 141.00,85.00 98.00 103.00,59.00 68.00 72.00,n/a,
Season 4 01.07.25 to 21.12.25,Standard Room,0,BB HB AI,136.00 150.00 172.00,96.00 103.00 109.00,67.00 72.00 76.00,n/a,
Season 5 22.12.25 to 31.12.25,Standard Room,0,BB HB AI,288.00 310.00 345.00,200.00 207.00 230.00,140.00 145.00 160.00,n/a,
