0,1
Hot Air Balloon Safari Rate (Adult) International,$450*pp
Hot Air Balloon Safari Rate (Child 4 - 11) International,$350*pp
Hot Air Balloon Safari Rate (Adult) Kenyan w/ID,$375*pp
Hot Air Balloon Safari Rate (Child 4 - 11) Kenyan w/ID,$275*pp
