NON - RESIDENT RACK RATES.Lazy Days,Regular Season.350,Regular Season.Min 6 pax,Festive Season 25th Dec to 5th Jan.570,Festive Season 25th Dec to 5th Jan.Min 8 pax,Max Pax.16
Fishermans,450,Min 6 pax,732,Min 8 pax,12
The Family Cottage,350,Min 6 pax,570,Min 8 pax,12
Beach House,400,Min 6 pax,650,Min 8 pax,10
