Full (Per person per,board night based on 2 sharing),Gamepackage (Per person per night based on 2 sharing),Flying package (2-night stay)
validity 16 TH JUNE - 30 16 THDEC - 4 TH,TH SEPT/ JAN 2026 16 TH JUNE - 30 TH SEPT/ 16 THDEC - 4 TH JAN 2026,16 TH JUNE - 30 TH SEPT/ 16 THDEC - 4 TH JAN 2026,
"KSH38,500per person per night","Ksh 46,200 per person per night","KSH128,700 per person for 2 - Night stay",Rate per person per night:
"KSH57,750per person per night","KSH69,300 per person per night",KSH182.100 per person for 2 - Night stay,Single occupant:
"3 rd person: Ksh 26,950 per person per night","KSH32,350 per person night",per,KSH108.200 per person for 2 - Night stay
"Bed, Breakfast, Lunch, Dinner, water WIFI in public areas","Bed, Breakfast, Lunch, Dinner, water, soft tea/coffee WIFI in public areas","drinks, Serena-Wilson Bed, Breakfast, Lunch, Dinner, Water, Soft Drinks, Tea/Coffee WIFI in public areas",Included:
** can be purchased as additional Extras**,TwoShared Scheduled Safari Game 1 Bush Breakfast 1 Sundowner *** all activities are weather,permitting **,experiences included: **
"0 - 2 years: stay free Ages 3 - 11 yrs.: KSH 19,250 per night","0 - 2 years: stay free Ages 3 - 11 yrs.: KSH 23,100 per night","0 - 2 years: stay free Ages 3 - 11 yrs.: KSH 76,650 for 2-night stay",Child: 0-11 yrs. sharing with adults
Extra Nights:,Calculated at the normal rate per person per night based on board type,Calculated at the normal rate per person per night based on board type,Calculated at the normal rate per person per night based on board type
