"LOCATION Situated on the beautifully secluded mile-long sands at Galu Beach, you'll be about 25 miles South of Mombasa and about 1 hour.from the airport",ACCOMMODATION.We have 40 CATEGORY,ACCOMMODATION.rooms. 20 suites created in clusters around the ROOMFEATURES,ACCOMMODATION.gardens. ROOMFACILTIES
,Deluxe GARDEN Rooms 24 Rooms 45 Square Meters Located on the first floor Capacity: 2Adts + 1Chd or 3Adts,"➢ Spacious and newly renovated with garden view ➢ Furnished balcony with balcony bed, chairs & coffee table ➢ King sized & Twin bed ➢ En-suite bathroom with wall hung toilet & large shower cubicle ➢ Mosquito net, ceiling fan and split unit air conditioner",➢ Tea/Coffee service ➢ Mini Bar ➢ WiFi/Telephone ➢ Hair Dryer ➢ Safe
,Premium GARDEN Rooms - New!! 12 Rooms 45 Square Meters Located on the first floor Capacity: 2Adts + 1Chd or 3Adts,"➢ Spacious with superior finishings, Superior garden, closer to the pool & the beach ➢ Mosquito net, ceiling fan, split unit air conditioner ➢ Furnished balcony with balcony bed, chairs & coffee table ➢ En-suite bathroom with wall hung toilet & large shower cubicle ➢ King sized & Twin bed",➢ Tea/Coffee service ➢ Mini Bar / Safe ➢ WiFi/Telephone ➢ Hair Dryer ➢ Bathrobes / Slippers
,Deluxe GARDEN Suites 12 Suites 90 Square Meters Located on the ground floor Capacity: 2Adts + 2 Chd or 3Adts,"➢ Sitting and dining area with private veranda ➢ Bathroom with double shower ➢ split unit air conditioner ➢ Mosquito net, Ceiling fan ➢ King sized bed ➢ 1 bunk bed or 2 full sized single beds for 2 children",➢ Tea/Coffee service ➢ Mini Bar ➢ WiFi/Telephone ➢ Hair Dryer ➢ Safe
,Premium GARDEN Suites - New!! 6 Suites 90 Square Meters Located on the ground floor Capacity: 2Adts + 2 Chd or 3Adts,"➢ Sitting and dining area with private veranda ➢ Bathroom with double shower ➢ Mosquito net, ceiling fan and split unit air conditioner ➢ Superior furnishings, Superior garden, closer to the pool & the beach ➢ King sized & twin bed. ➢ 1 bunk bed or 2 full sized single beds for 2 children",➢ Tea/Coffee service ➢ Mini Bar / Safe ➢ WiFi/Telephone ➢ Hair Dryer ➢ Bathrobes / Slippers
,Luxury OCEAN FRONT Rooms 4 Rooms 45 Square Meters Located on the first floor Capacity: 2Adts + 1Chd or 3Adts,"➢ Sea Font with spectacular view and Superior finish ➢ Furnished balcony with balcony bed, chairs & coffee table ➢ King sized & Twin bed ➢ Double Shower ➢ Mosquito net, ceiling fan and split unit air conditioner",➢ Tea/Coffee service ➢ Mini Bar / Safe ➢ WiFi/Telephone ➢ Hair Dryer ➢ Bathrobes / Slippers
,Grand OCEAN FRONT Suites 2 Suites 90 Square Meters Located on the ground floor Capacity: 2Adts,➢ Sea Front with spectacular View & Superior finish ➢ Sitting and dining area with private veranda ➢ Bathroom with bathtub & double shower ➢ split unit air conditioner ➢ Mosquito net & ceiling fan,➢ Tea/Coffee service ➢ Mini Bar / Safe ➢ WiFi/Telephone ➢ Hair Dryer ➢ Bathrobes / Slippers
