AGE,CONDITION,RATE
3 YRS & BELOW,SHARING WITH PARENTS,FREE
3 YRS TO 7 YRS,SHARING WITH PARENTS,50% ADULT RATE
7YRS & BELOW,OWNROOM,75% ADULT RATE
ABOVE 7 YRS,OWNROOM,100% ADULT RATE
