PERIOD.,PERIOD.,SINGLE.MORANI,SINGLE.DELUXE,DOUBLE.MORANI,DOUBLE.DELUXE,TRIPLE.MORANI,TRIPLE.DELUXE,CHILD UNDER 12YRS.MORANI,CHILD UNDER 12YRS.DELUXE
5 TH JAN 2025 TO 28 TH FEB 2025,5 TH JAN 2025 TO 28 TH FEB 2025,"25,000","21,500","40,000","32,500","55,000","44,500","10,000","8,125"
1 ST MAR 2025 TO 31 ST MAY 2025,1 ST MAR 2025 TO 31 ST MAY 2025,"22,500","19,000","35,000","28,000","48,000","38,500","8,750","7,000"
1 ST JUN 2025 TO 30 TH JUN 2025,1 ST JUN 2025 TO 30 TH JUN 2025,"25,000","21,500","40,000","32,500","55,000","44,500","10,000","8,125"
1 ST JUL 2025 TO 30 TH SEP 2025,Weekday (Sun-Thurs.),"31,500","28,500","47,500","41,500","65,500","57,000","11,875","10,375"
,Weekend (Fri-Sat.),"32,500","29,500","50,000","44,000","69,000","60,500","12,500","11,000"
1 ST OCT 2025 TO 22 ND DEC 2025,Weekday (Sun-Thurs.),"27,500","24,000","44,500","38,000","61,000","52,500","11,125","9,500"
1 ST OCT 2025 TO 22 ND DEC 2025,Weekend (Fri-Sat.),29500,"26,000","48,500","42,000","66,500","58,000","12,125","10,500"
