US DOLLARS ($),GREEN SEASON,HIGH SEASON,PEAK SEASON
Medina Suite - One Bedroom Suite (sleeps up to 2 guests) One Super King Double: separate living area + kitchen,224,328,402
Medina Deluxe - Two Bedroom Suite (sleeps up to 4 guests) One Super King Double + one Twin room: separate living area + kitchen,402,480,582
Medina Penthouse - Two Bedroom Suite (sleeps up to 4 guests) One Super King Double + one Twin room: separate living area + Kitchen + roof top terrace with plunge pool,524,621,740
Medina Ocean Lodges - Luxury Three Bedroom Suite (sleeps up to 6 guests) Two Super King Doubles + one Twin room: separate living area + Kitchen + roof top terrace with plunge pool,623,789,944
Palmerie Beach Villa - Luxury Three Bedroom Villa (sleeps up to 6 guests) Two Super King Doubles + one Twin room: separate living area + Kitchen + roof top terrace with plunge pool,816,"1,138","1,323"
Ocean Villa - Luxury Four Bedroom Villa (sleeps up to 8 guests) One Super King Double + three Twin rooms: separate living area + Kitchen + roof top terrace with plunge pool,976,"1,348","1,687"
