0,1,2,3,4
DATES 20th Dec - 5 th January 2026 Rates in US Dollars,DATES 20th Dec - 5 th January 2026 Rates in US Dollars,DATES 20th Dec - 5 th January 2026 Rates in US Dollars,DATES 20th Dec - 5 th January 2026 Rates in US Dollars,DATES 20th Dec - 5 th January 2026 Rates in US Dollars
ROOM TYPE,BO,BB,HB,FB
GARDEN VIEW,92,115,145,175
SEA VIEW,122,152,182,212
OCEAN FRONT,152,182,212,242
