New Years - 31st Dec 2024.VWL,New Years - 31st Dec 2024.Single,New Years - 31st Dec 2024.Per Person Sharing,New Years - 31st Dec 2024.Child Sharing,New Years - 31st Dec 2024.Child In Own Room 75% of adult
Full Board,"15,600","12,000","6,000","9,000"
Half Board,"13,600","10,000","5,000","7,500"
Bed &Breakfast,"12,600","9,000","4,500","6,750"
