"CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.VWL","CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.Single","CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.Per Person Sharing","CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.Child Sharing 50% of adult rate","CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.Child In Own Room 75% of adult rate"
Full Board,"16,900","13,000","6,500","9,750"
Half Board,"14,900","11,000","5,500","8,250"
Bed &Breakfast,"13,900","10,000","5,000","7,500"
