BED &BREAKFASTRATES US DOLLARS,LOWSEASON,HIGHSEASON,PEAKSEASON
Standard Room,146,153,185
Standard Suite,166,172,205
Standard Suite with Plunge pool,179,185,218
Standard 2 BedroomVilla,267,280,345
Standard 2 BedroomVilla with Plunge pool,280,293,358
Standard 3 BedroomVilla,387,406,504
Standard 3 BedroomVilla with Plunge pool,400,419,517
Standard 4 BedroomVilla,494,520,650
Standard 4 BedroomVilla with Plunge pool,507,533,663
