Borana Lodge 2025 Inclusive Rate*.,Borana Lodge 2025 Inclusive Rate*.Adult Inclusive Rate,Borana Lodge 2025 Inclusive Rate*.Single Inclusive Rate,Borana Lodge 2025 Inclusive Rate*.Child Inclusive Rate
Peak,"$1,200","$1,560",$600
Standard,$930,"$1,210",$465
