**CONFIDENTIAL TOUR OPERATOR /HOTEL GREENFEE KENYAN NATIONALS**,**CONFIDENTIAL TOUR OPERATOR /HOTEL GREENFEE KENYAN NATIONALS**
**VALID FROM\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_ UNTIL \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_**,**VALID FROM\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_ UNTIL \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_**
18 HOLES PGA COURSE,"KES 5,200"
MULTIPLAY PACKAGE 2 ROUNDS,"KES 9,800"
MULTIPLAY PACKAGE 3 ROUNDS,"KES 13,600"
MULTIPLAY PACKAGE 5 ROUNDS,"KES 22,200"
MULTIPLAY PACKAGE 7 ROUNDS,"KES 30,000"
