**PUBLIC GREEN FEE RATES KENYAN NATIONALS**,**PUBLIC GREEN FEE RATES KENYAN NATIONALS**
**VALID FROM\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_ UNTIL \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_**,**VALID FROM\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_ UNTIL \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_**
18 HOLES PGA COURSE,"KES 5,800"
9 HOLES PGA COURSE,"KES 3,200"
TWILIGHT,"KES 4,000"
MULTIPLAY PACKAGE 2 ROUNDS,"KES 11,000"
MULTIPLAY PACKAGE 3 ROUNDS,"KES 15,600"
MULTIPLAY PACKAGE 5 ROUNDS,"KES 25,400"
MULTIPLAY PACKAGE 7 ROUNDS,"KES 33,800"
