**PUBLIC GREEN FEE RATES INTERNATIONAL GUESTS**,**PUBLIC GREEN FEE RATES INTERNATIONAL GUESTS**
**VALID FROM\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_ UNTIL \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_**,**VALID FROM\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_ UNTIL \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_**
18 HOLES PGA COURSE,USD 70
9 HOLES PGA COURSE,USD 45
TWILIGHT,USD 55
MULTIPLAY PACKAGE 2 ROUNDS,USD 130
MULTIPLAY PACKAGE 3 ROUNDS,USD 185
MULTIPLAY PACKAGE 5 ROUNDS,USD 300
MULTIPLAY PACKAGE 7 ROUNDS,USD 405
