US DOLLARS ($),GREEN SEASON,HIGH SEASON,PEAK SEASON
Medina Suite - One Bedroom Suite (sleeps up to 2 guests) One Super King Double: separate living area + kitchen,280,410,502
Medina Deluxe - Two Bedroom Suite (sleeps up to 4 guests) One Super King Double + one Twin room: separate living area + kitchen,502,601,728
Medina Penthouse - Two Bedroom Suite (sleeps up to 4 guests) One Super King Double + one Twin room: separate living area + Kitchen + roof top terrace with plunge pool,655,777,926
Medina Ocean Lodges - Luxury Three Bedroom Suite (sleeps up to 6 guests) Two Super King Doubles + one Twin room: separate living area + Kitchen + roof top terrace with plunge pool,779,982,"1,180"
Palmerie Beach Villa - Luxury Three Bedroom Villa (sleeps up to 6 guests) Two Super King Doubles + one Twin room: separate living area + Kitchen + roof top terrace with plunge pool,"1,020","1,422","1,654"
Ocean Villa - Luxury Four Bedroom Villa (sleeps up to 8 guests) One Super King Double + three Twin rooms: separate living area + Kitchen + roof top terrace with plunge pool,"1,220","1,685","2,109"
