Rates in USDollars All Inclusive,High/Peak Season 15th Aug - 15th Oct 2025 20th Dec 2025 - 5th Jan 2026 1st June - 15th Oct 2026 20th Dec - 5th Jan 2027,Low/Shoulder Season 16th Oct - 19th Dec 2025 6th Jan - 31st May 2026 16th Oct - 19th Dec 2026
Per person Sharing per Night,"2,450","1,750"
Single Occupancy,"2,800","2,100"
Children 6-12 years in own room,"1,838","1,313"
Children 6-12 years sharing with adults,"1,225",875
2 Bedroom Executive Suites (4 pax per suite),"9,800","7,000"
4 Bedroom Presidential Suite (8 pax),"21,000","14,000"
Pilot/Guide Tent,500,500
