RACKRATES.,RACKRATES.Per person Sharing,RACKRATES.Single Room,CONTRACT RATES.Per person sharing,CONTRACT RATES.Single Room
Peak,"Kes.48,000","Kes.81,000","Kes.40,000","Kes.67,500"
High,"Kes.37,500","Kes.64,800","Kes.31,250","Kes.54,000"
Low,"Kes.34,500","Kes.62,400","Kes.28,750","Kes. 52,000"
