RACKRATES.,RACKRATES.Double,RACKRATES.Single,RACKRATES.Triple,CONTRACT RATES.Double,CONTRACT RATES.Single,CONTRACT RATES.Triple
Peak,"Kes.47,400","Kes.32,400","Kes.65,200","Kes.39,500","Kes.27,000","Kes.54,300"
High,"Kes.26,400","Kes.16,200","Kes.36,300","Kes.22,000","Kes.13,500","Kes.30,250"
Low,"Kes.20,400","Kes.13,800","Kes.28,100","Kes.17,000","Kes.11,500","Kes.23,400"
