0,1
PEAK SEASON,"1 st July to 30 th September 2025, 22 nd December to 2 nd January 2026"
"3 rd January to 31 st March 2025, 1 st June to 30 th June 2025,",HIGH SEASON
LOWSEASON,"1 st April to 31 st May 2025, 1 st November to 21 st December 2025"
