NON - RESIDENT RACK RATES,Spring Season 1st Apr to 31st May,Regular Season,Festive Season 25th Dec to 5th Jan
Sea Breeze Room,320,400,600
Ocean View Suite,500,580,780
Beach Cottage,500,620,950
Family Suite,645,750,1000
