Validity 6th Jan 2025 - 5th Jan 2026,High/ Peak Season 1st June - 15th October 2025 20th December - 5th January 2026,Low/ Shoulder Season 6th January - 31st May 2025 16th October - 19th December 2025
Per person sharing per night,"USD 2,475","USD 1,595"
Single room per night,"USD 2,750","USD 1,925"
Children 6 - 12 years old in own room,"USD 1,859","USD 1,196"
Children 6 - 12 years sharing with adults,"USD 1,238",USD 798
Guide/Pilot,USD 600,USD 600
Honeymoon / family room supplement per room per night,"USD 1,200 (per room per night)","USD 1,200 (per room per night)"
JWMarriott Masai Mara foundation fee per guest per stay,USD 15,USD 15
