ROOMTY P E,BED A N D B R EAK F AST KSH,HALF KSH,B O A R D,F ULL B OA R D KSH
EX EC U TI VE R OOM Si n gle,"11,000","13,0 0 0",,"16,000"
Do u ble,"1 6 ,000","20,000",,"26,000"
S T AND A RD R O OM Sing l e Do ub le,"9,0 0 0","11,0 0 0",,"13,000"
,"14,000","18,0 0 0",,"22,000"
P R E S ID ENT I AL SU IT E,"45, 0 00","45, 0 00",,"45,000"
