RACKRATES.,RACKRATES.Double,RACKRATES.Single,RACKRATES.Triple,CONTRACT RATES.Double,CONTRACT RATES.Single,CONTRACT RATES.Triple
Peak,$350,$250,$480,$290,$205,$400
High,$210,$160,$310,$190,$130,$260
Low,$175,$120,$275,$145,$100,$230
