PERIOD.PERIOD,SINGLE.CLUB,SINGLE.DELUXE,DOUBLE.CLUB,DOUBLE.DELUXE,TRIPLE.CLUB,TRIPLE.DELUXE,CHILD UNDER 12YRS.CLUB,CHILD UNDER 12YRS.DELUXE
5 TH JAN 2025 To 31 ST MAR2025,350,230,600,360,825,495,150,90
EASTER 18 TH APR 2025 TO 21 ST APR 2025,350,240,600,360,825,500,150,90
1 ST APR 2025 TO 15 TH JUNE 2025,275,200,450,300,620,415,115,75
16 TH JUNE 2025 TO 30 TH JUNE 2025,350,250,600,400,825,550,150,100
1 ST JULY 2025 To 15 TH SEPT 2025,525,425,850,650,1170,895,215,165
16 TH SEPT 2025 TO 31 ST OCT 2025,350,250,600,400,825,550,150,100
1 ST NOV 2025 TO 22 ND DEC 2025,300,200,500,300,690,415,125,75
23 RD DEC 2025 TO 4 TH JAN 2026,500,425,800,650,1100,895,200,165
