"CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.VWL","CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.Single","CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.Per Person Sharing","CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.Child Sharing 50% of adult rate","CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.Child In Own Room 75% of adult rate"
Full Board,143,110,55,83
Half Board,133,100,50,75
Bed &Breakfast,128,95,48,72
