Rates Valid,Room Type,Non Residents Full Board USD.Single,Non Residents Full Board USD.Double,Non Residents Full Board USD.Triple,Residents Full Board Kshs.Single,Residents Full Board Kshs.Double,You don't have to worry about the game drives Just relax in your room or at the balcony and watch nature in its best.
Low Season 1 st April 25 to 30 th June 25,Luxury Tent,220,,385,,"17,600","Triple 308 12,100 23,100"
High Season 16 th Dec 24 To 31 st Mar 25 1 st July 25 To 15 th Dec 25,Luxury Tent,297,396,506,"15,400","22,000","(Wildlife & Landscape). 26,400"
,,Children (3-12 years) sharing with parents - 50%. Of Adult Rate,Children (3-12 years) sharing with parents - 50%. Of Adult Rate,Children (3-12 years) sharing with parents - 50%. Of Adult Rate,Children (3-12 years) sharing with parents - 50%. Of Adult Rate,Children (3-12 years) sharing with parents - 50%. Of Adult Rate,Children (3-12 years) sharing with parents - 50%. Of Adult Rate
,,Children Own Room 75% of Room Rate,Children Own Room 75% of Room Rate,Children Own Room 75% of Room Rate,Children Own Room 75% of Room Rate,Children Own Room 75% of Room Rate,.
,,Christmas Supplement Residents Non Residents,Christmas Supplement Residents Non Residents,Christmas Supplement Residents Non Residents,Christmas Supplement Residents Non Residents,Christmas Supplement Residents Non Residents,"Adult Kshs.3,000 50 USD Kshs.2,000 30 USD"
