0,1,2,3
Lodge - Residents,Peak Season 1 st July- 15 th September 16 th December-5 th January RACK RATES KES,Regular Season 6 th January-31 st March 1 st June-30th June 16 th September-31 st October 1 st December-15 th December RACK RATES KES,Green Season 1 st April-31 st May 1 st November -30 th November RACK RATES KES
Adult per person/night FB,"27,500","22,000","19,250"
Child per person/night FB,"13,750","11,000","9,625"
Family (2 adults; 2 children) Per group/per night - sharing one room FB,"60,500",,
