0,1
TRANSFERS,TRANSFERS
,Rack Rate US$
Il Ngwesi Airstrip,Nocharge
Lewa Airstrip - Il Ngwesi Lodge,240
Timau - Il Ngwesi Lodge,320
Isiolo - Il Ngwesi Lodge,240
